project,covered_in_manifest
_bmad,yes
_bmad-output,no
denny-all-in-one,yes
docs,no
elasticsearch,yes
elasticsearch-java,yes
es-8.17-plugins,yes
es-9.2.4-plugins,yes
es-9.2.4-plugins-real-time,yes
es-9.2.4-plugins-rt-scale,yes
es-9.2.4-plugins-scale,yes
es-aiops,yes
es-lance-claude,yes
es-lance-claude-glm,yes
es-lance-demo,yes
es-lance-iam-demo,yes
es-lance-in-oss-demo,yes
es-pdsa,yes
kibana,yes
kibana-9.2.4,yes
kibana-iam,yes
ldap-demo,yes
ldap-demo-val,yes
oauth-for-playwright,yes
openclaw,yes
pai_mem0_finetune_lab,yes
ralph,yes
search_benchmark_harness,yes
support-ram,no
tests-beads-superpower,yes
vlm-vla,yes
winter-note,yes
